"Cluster","Test-positive fraction"
"01",0.0291970802919708
"02",0.032967032967033
"03",0.0579064587973274
"04",0.0578947368421053
"05",0.192546583850932
"06",0.015015015015015
"07",0.0138067061143984
"08",0.058641975308642
"09",0.0283687943262411
"10",0.09375
"11",0.0554216867469879
"12",0.015625
"13",0.0957178841309824
"14",0.0341463414634146
"15",0.0816326530612245
"16",0.0196078431372549
"17",0.101123595505618
"18",0.142441860465116
"19",0.0357142857142857
"20",0.161849710982659
"21",0.0333333333333333
"22",0.161111111111111
"23",0.0780141843971631
"24",0.0210526315789474
