"d1","d2","tau","Bootstrap CI.l","Bootstrap CI.u","Perm Null CI.l","Perm Null CI.u"
0,50,10.5438922392525,5.60446272257074,17.4890500883135,0,2.14717412045126
50,100,4.69969998332723,1.77874011758471,8.50569687950907,0.365292872906603,1.81526365314929
100,200,2.41785225722366,1.33998476136447,3.74719839710187,0.616260901485242,1.44103329649996
200,300,2.28293095126188,1.41358636069887,3.33149021656856,0.653124396285527,1.42359540793374
300,400,1.26661866261709,0.656492152720188,1.9989475617199,0.684507271927856,1.35337952562058
400,500,1.05402755638142,0.598926545593202,1.6102410277538,0.720368665808797,1.3180208559051
500,600,0.837602443944631,0.458325217949592,1.31115235858698,0.732555233527137,1.30492224685898
600,700,0.59476579589459,0.289844498867316,0.961830450051677,0.740665370002139,1.30300997512119
700,800,0.730171859030096,0.331619937773823,1.20657416011362,0.75789483778215,1.28235315095022
800,900,0.994738956036119,0.571966644345784,1.51101807546628,0.752810544060156,1.26204418179255
900,1000,0.890774949702665,0.497523845880618,1.35209133632792,0.758618479043567,1.24116982073071
