"intervention","r_lower","r_upper","cluster","tau_obs","UL","LL","geom_mean_1","Geom Mean LL","Geom Mean UL"
"Intervention",0,50,"1",13.4587813620072,15.2642276422764,0,0.2493313581593,0,0.413948322782538
"Intervention",0,50,"2",NA,NA,NA,0.2493313581593,0,0.413948322782538
"Intervention",0,50,"6",0,0,0,0.2493313581593,0,0.413948322782538
"Intervention",0,50,"7",0,0,0,0.2493313581593,0,0.413948322782538
"Intervention",0,50,"9",NA,NA,NA,0.2493313581593,0,0.413948322782538
"Intervention",0,50,"10",0,25.1111111111111,0,0.2493313581593,0,0.413948322782538
"Intervention",0,50,"12",0,0,0,0.2493313581593,0,0.413948322782538
"Intervention",0,50,"14",0,27.5833333333333,0,0.2493313581593,0,0.413948322782538
"Intervention",0,50,"16",NA,NA,NA,0.2493313581593,0,0.413948322782538
"Intervention",0,50,"19",NA,NA,NA,0.2493313581593,0,0.413948322782538
"Intervention",0,50,"21",NA,NA,NA,0.2493313581593,0,0.413948322782538
"Intervention",0,50,"24",NA,NA,NA,0.2493313581593,0,0.413948322782538
"Intervention",50,100,"1",0,7.40741376678877,0,0,0,0.578964354573081
"Intervention",50,100,"2",NA,NA,NA,0,0,0.578964354573081
"Intervention",50,100,"6",0,33.1543307086614,0,0,0,0.578964354573081
"Intervention",50,100,"7",0,27.5291163628905,0,0,0,0.578964354573081
"Intervention",50,100,"9",NA,NA,NA,0,0,0.578964354573081
"Intervention",50,100,"10",0,16.1428571428571,0,0,0,0.578964354573081
"Intervention",50,100,"12",0,0,0,0,0,0.578964354573081
"Intervention",50,100,"14",0,13.5102040816327,0,0,0,0.578964354573081
"Intervention",50,100,"16",NA,NA,NA,0,0,0.578964354573081
"Intervention",50,100,"19",NA,NA,NA,0,0,0.578964354573081
"Intervention",50,100,"21",NA,NA,NA,0,0,0.578964354573081
"Intervention",50,100,"24",NA,NA,NA,0,0,0.578964354573081
"Intervention",100,200,"1",0,4.96717808229985,0,0.192745039705097,0,0.552855156362467
"Intervention",100,200,"2",NA,NA,NA,0.192745039705097,0,0.552855156362467
"Intervention",100,200,"6",0,10.6490978041506,0,0.192745039705097,0,0.552855156362467
"Intervention",100,200,"7",0,8.3973063973064,0,0.192745039705097,0,0.552855156362467
"Intervention",100,200,"9",NA,NA,NA,0.192745039705097,0,0.552855156362467
"Intervention",100,200,"10",7.29032258064516,6.85383522727272,0,0.192745039705097,0,0.552855156362467
"Intervention",100,200,"12",0,14.9293103448276,0,0.192745039705097,0,0.552855156362467
"Intervention",100,200,"14",0,5.70689655172414,0,0.192745039705097,0,0.552855156362467
"Intervention",100,200,"16",NA,NA,NA,0.192745039705097,0,0.552855156362467
"Intervention",100,200,"19",NA,NA,NA,0.192745039705097,0,0.552855156362467
"Intervention",100,200,"21",NA,NA,NA,0.192745039705097,0,0.552855156362467
"Intervention",100,200,"24",NA,NA,NA,0.192745039705097,0,0.552855156362467
"Intervention",200,300,"1",0,4.04415724286484,0,0.157902697701896,0,0.615633663110023
"Intervention",200,300,"2",NA,NA,NA,0.157902697701896,0,0.615633663110023
"Intervention",200,300,"6",0,8.10354118552733,0,0.157902697701896,0,0.615633663110023
"Intervention",200,300,"7",0,6.77358469817915,0,0.157902697701896,0,0.615633663110023
"Intervention",200,300,"9",NA,NA,NA,0.157902697701896,0,0.615633663110023
"Intervention",200,300,"10",4.80851063829787,6.84848484848485,0,0.157902697701896,0,0.615633663110023
"Intervention",200,300,"12",0,10.5475379201932,0,0.157902697701896,0,0.615633663110023
"Intervention",200,300,"14",0,4.763452716088,0,0.157902697701896,0,0.615633663110023
"Intervention",200,300,"16",NA,NA,NA,0.157902697701896,0,0.615633663110023
"Intervention",200,300,"19",NA,NA,NA,0.157902697701896,0,0.615633663110023
"Intervention",200,300,"21",NA,NA,NA,0.157902697701896,0,0.615633663110023
"Intervention",200,300,"24",NA,NA,NA,0.157902697701896,0,0.615633663110023
"Intervention",300,400,"1",0,3.73088933128693,0,NA,NA,NA
"Intervention",300,400,"2",NA,NA,NA,NA,NA,NA
"Intervention",300,400,"6",0,7.01772516672224,0,NA,NA,NA
"Intervention",300,400,"7",0,6.6259298618491,0,NA,NA,NA
"Intervention",300,400,"9",NA,NA,NA,NA,NA,NA
"Intervention",300,400,"10",0,7.0625,0,NA,NA,NA
"Intervention",300,400,"12",0,9.24144213095987,0,NA,NA,NA
"Intervention",300,400,"14",0,6.27562852629203,0,NA,NA,NA
"Intervention",300,400,"16",NA,NA,NA,NA,NA,NA
"Intervention",300,400,"19",NA,NA,NA,NA,NA,NA
"Intervention",300,400,"21",NA,NA,NA,NA,NA,NA
"Intervention",300,400,"24",NA,NA,NA,NA,NA,NA
"Intervention",400,500,"1",0,4.51051051051051,0,NA,NA,NA
"Intervention",400,500,"2",NA,NA,NA,NA,NA,NA
"Intervention",400,500,"6",6.62252280591381,6.88467771534795,0,NA,NA,NA
"Intervention",400,500,"7",0,7.64093137254902,0,NA,NA,NA
"Intervention",400,500,"9",NA,NA,NA,NA,NA,NA
"Intervention",400,500,"10",0,6.27777777777778,0,NA,NA,NA
"Intervention",400,500,"12",0,8.56499933895467,0,NA,NA,NA
"Intervention",400,500,"14",2.74688796680498,5.61136824569028,0,NA,NA,NA
"Intervention",400,500,"16",NA,NA,NA,NA,NA,NA
"Intervention",400,500,"19",NA,NA,NA,NA,NA,NA
"Intervention",400,500,"21",NA,NA,NA,NA,NA,NA
"Intervention",400,500,"24",NA,NA,NA,NA,NA,NA
"Intervention",500,600,"1",6.32154882154882,5.60029828486204,0,NA,NA,NA
"Intervention",500,600,"2",NA,NA,NA,NA,NA,NA
"Intervention",500,600,"6",0,7.13177506775068,0,NA,NA,NA
"Intervention",500,600,"7",0,8.78865565127941,0,NA,NA,NA
"Intervention",500,600,"9",NA,NA,NA,NA,NA,NA
"Intervention",500,600,"10",0,5.79487179487179,0,NA,NA,NA
"Intervention",500,600,"12",0,8.59923614301877,0,NA,NA,NA
"Intervention",500,600,"14",0,5.63464448081469,0,NA,NA,NA
"Intervention",500,600,"16",NA,NA,NA,NA,NA,NA
"Intervention",500,600,"19",NA,NA,NA,NA,NA,NA
"Intervention",500,600,"21",NA,NA,NA,NA,NA,NA
"Intervention",500,600,"24",NA,NA,NA,NA,NA,NA
"Intervention",600,700,"1",0,7.01412463002198,0,NA,NA,NA
"Intervention",600,700,"2",NA,NA,NA,NA,NA,NA
"Intervention",600,700,"6",0,8.45171070875231,0,NA,NA,NA
"Intervention",600,700,"7",11.5036900369004,11.600270018622,0,NA,NA,NA
"Intervention",600,700,"9",NA,NA,NA,NA,NA,NA
"Intervention",600,700,"10",0,6.84848484848485,0,NA,NA,NA
"Intervention",600,700,"12",9.201912858661,8.96400033791395,0,NA,NA,NA
"Intervention",600,700,"14",0,6.79239583333333,0,NA,NA,NA
"Intervention",600,700,"16",NA,NA,NA,NA,NA,NA
"Intervention",600,700,"19",NA,NA,NA,NA,NA,NA
"Intervention",600,700,"21",NA,NA,NA,NA,NA,NA
"Intervention",600,700,"24",NA,NA,NA,NA,NA,NA
"Intervention",700,800,"1",0,8.63218390804598,0,NA,NA,NA
"Intervention",700,800,"2",NA,NA,NA,NA,NA,NA
"Intervention",700,800,"6",0,11.0059483838922,0,NA,NA,NA
"Intervention",700,800,"7",0,15.1523441772874,0,NA,NA,NA
"Intervention",700,800,"9",NA,NA,NA,NA,NA,NA
"Intervention",700,800,"10",0,6.84848484848485,0,NA,NA,NA
"Intervention",700,800,"12",0,9.10539208035862,0,NA,NA,NA
"Intervention",700,800,"14",0,5.34647292817675,0,NA,NA,NA
"Intervention",700,800,"16",NA,NA,NA,NA,NA,NA
"Intervention",700,800,"19",NA,NA,NA,NA,NA,NA
"Intervention",700,800,"21",NA,NA,NA,NA,NA,NA
"Intervention",700,800,"24",NA,NA,NA,NA,NA,NA
"Intervention",800,900,"1",0,15.8438818565401,0,NA,NA,NA
"Intervention",800,900,"2",NA,NA,NA,NA,NA,NA
"Intervention",800,900,"6",0,18.4194758355512,0,NA,NA,NA
"Intervention",800,900,"7",0,18.4747593142104,0,NA,NA,NA
"Intervention",800,900,"9",NA,NA,NA,NA,NA,NA
"Intervention",800,900,"10",0,6.64705882352941,0,NA,NA,NA
"Intervention",800,900,"12",0,11.230869001297,0,NA,NA,NA
"Intervention",800,900,"14",0,5.33979478101233,0,NA,NA,NA
"Intervention",800,900,"16",NA,NA,NA,NA,NA,NA
"Intervention",800,900,"19",NA,NA,NA,NA,NA,NA
"Intervention",800,900,"21",NA,NA,NA,NA,NA,NA
"Intervention",800,900,"24",NA,NA,NA,NA,NA,NA
"Intervention",900,1000,"1",0,27.2101449275362,0,NA,NA,NA
"Intervention",900,1000,"2",NA,NA,NA,NA,NA,NA
"Intervention",900,1000,"6",0,0,0,NA,NA,NA
"Intervention",900,1000,"7",0,28.7343778269708,0,NA,NA,NA
