"intervention","r_lower","r_upper","geom_mean_1","CI.l","CI.u","method","signif"
"Intervention",0,50,0.2493313581593,0,0.413948322782538,"Full data","null"
"Intervention",50,100,0,0,0.57896435457308,"Full data","null"
"Intervention",100,200,0.192745039705097,0,0.552855156362464,"Full data","null"
"Intervention",200,300,0.157902697701896,0,0.615633663110023,"Full data","null"
"Intervention",300,400,0,0,0.648472861189421,"Full data","null"
"Intervention",400,500,0.322251657238137,0,0.6524746319873,"Full data","null"
"Intervention",500,600,0.180457203982722,0,0.674167543015605,"Full data","null"
"Intervention",600,700,0.49787871939307,0,0.686896644093974,"Full data","null"
"Intervention",700,800,0,0,0.650763268733376,"Full data","null"
"Intervention",800,900,0,0,0.582063074684094,"Full data","null"
"Intervention",900,1000,0,0,0.611252575936248,"Full data","null"
"Untreated",0,50,4.68327573121944,0.132991223981346,1.2236939941464,"Full data","above"
"Untreated",50,100,1.59124502497417,0.240055045446436,1.18742982236582,"Full data","above"
"Untreated",100,200,1.48863918668051,0.450588876204358,1.15085067608391,"Full data","above"
"Untreated",200,300,1.224043168189,0.476648941012152,1.1710048752043,"Full data","above"
"Untreated",300,400,0.424559224618242,0.487900392085816,1.164961830194,"Full data","below"
"Untreated",400,500,0.41721731802079,0.478830844031302,1.17864790541644,"Full data","below"
"Untreated",500,600,0.462291062044935,0.457673048795555,1.15920413634777,"Full data","null"
"Untreated",600,700,0.606162887826285,0.437457689999489,1.19297449516174,"Full data","null"
"Untreated",700,800,0.291145093369745,0.392804422160487,1.1752058028131,"Full data","below"
"Untreated",800,900,0.220271266507381,0.344726525177233,1.22306099770778,"Full data","below"
"Untreated",900,1000,0.282777809411914,0.29005863701784,1.15705087166173,"Full data","below"
"Intervention",0,50,0.339677519501498,0,0.435265276828207,"Excluding 50m border","null"
"Intervention",50,100,0,0,0.545863378122264,"Excluding 50m border","null"
"Intervention",100,200,0,0,0.59821952108887,"Excluding 50m border","null"
"Intervention",200,300,0.121324011082249,0,0.635264286495809,"Excluding 50m border","null"
"Intervention",300,400,0,0,0.662857322364314,"Excluding 50m border","null"
"Intervention",400,500,0.307386018467309,0,0.707276594129182,"Excluding 50m border","null"
"Intervention",500,600,0,0,0.618330046340738,"Excluding 50m border","null"
"Intervention",600,700,0.425074901599649,0,0.67832044568176,"Excluding 50m border","null"
"Intervention",700,800,0,0,0.68946691745355,"Excluding 50m border","null"
"Intervention",800,900,0,0,0.559801617291145,"Excluding 50m border","null"
"Intervention",900,1000,0,0,0.533926890788127,"Excluding 50m border","null"
"Untreated",0,50,3.42782637486018,0.126799521014232,1.20696492756654,"Excluding 50m border","above"
"Untreated",50,100,1.68229587753235,0.246515305390095,1.19860343767673,"Excluding 50m border","above"
